[BOUNCE] ball1 f24 dist=246.6 seg=159 gap=0 pen=0.6 vel=(-5.4,4.2) nx=-0.94 ny=0.35
sketch.js:200 [NaN-UPDATE] ball0 f61 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f61 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f61 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f62 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f62 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f62 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f63 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f63 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f63 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f64 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f64 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f64 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f65 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f65 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f65 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f66 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f66 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f66 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f67 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f67 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f67 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f68 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f68 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f68 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f69 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f69 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f69 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f70 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
